display_name,search_name,mailing_address,city,state,zip,feid_number,feid_suffix,elt_customer_number,phone,email,payoff_website,lien_release_notes,elt_notes,search_aliases,last_verified_date,internal_notes,source
#1 AUTO LIQUIDATORS LLC,1 AUTO LIQUIDATORS,542089 US HIGHWAY 1,CALLAHAN,FL,32011,831439692,2,257825109,,,,,,,,,Florida ELT / Lienholder Source List
#1 AUTO RESELLERS INC,1 AUTO RESELLERS,10330 SW 102ND AVE,MIAMI,FL,33176,822514812,2,256990349,,,,,,,,,Florida ELT / Lienholder Source List
#1 UNIVERSAL AUTO SALES CORP,1 UNIVERSAL AUTO SALES,414 S ORANGE BLOSSOM TRL,ORLANDO,FL,32805,50536375,2,233585349,,,,,,,,,Florida ELT / Lienholder Source List
#1 USA AUTO MARKET LLC,1 USA AUTO MARKET,11301 US HIGHWAY 19 STE B,PORT RICHEY,FL,34668,463288518,2,236159287,,,,,,,,,Florida ELT / Lienholder Source List
". COMFINANCIAL, LLC",COMFINANCIAL,PO BOX 5394,GAINESVILLE,FL,32627,270793426,2,233603757,,,,,,,,,Florida ELT / Lienholder Source List
0,0,4008 HUXFORD CT,TAMPA,FL,33624,352412006,3,613365989,,,,,,,,,Florida ELT / Lienholder Source List
"0 MILES, LLC",0 MILES,1212 W DR MARTIN LUTHER KING JR BLVD,SEFFNER,FL,33584,364948189,2,261930545,,,,,,,,,Florida ELT / Lienholder Source List
1 813 GOT CARS INC,1 813 GOT CARS,12209 N NEBRASHA AVE,TAMPA,FL,33612,273967586,2,233853205,,,,,,,,,Florida ELT / Lienholder Source List
1 ACCORD BUSSINESS SOLUTIONS INC,1 ACCORD BUSSINESS SOLUTIONS,2235 SOUTEL DR,JACKSONVILLE,FL,32208,81106677,1,600698895,,,,,,,,,Florida ELT / Lienholder Source List
1 AUTO TRADER INC,1 AUTO TRADER,PO BOX 678022,ORLANDO,FL,32867,262642021,3,233253555,,,,,,,,,Florida ELT / Lienholder Source List
1 AUTO VISION INC,1 AUTO VISION,2394 MINTON RD,W MELBOURNE,FL,32904,208021431,2,234547489,,,,,,,,,Florida ELT / Lienholder Source List
1 CALL AWAY BAIL BONDS,1 CALL AWAY BAIL BONDS,3265-A HWY 17,GREEN COVE SPRINGS,FL,32043,461627872,1,239716155,,,,,,,,,Florida ELT / Lienholder Source List
1 MIAMI ENTERPRISE INC DORAL AUTO SALES,1 MIAMI ENTERPRISE DORAL AUTO SALES,1227 NW 93RD CT,DORAL,FL,33172,273327462,3,237965175,,,,,,,,,Florida ELT / Lienholder Source List
1 MOTOR SPORT AUTO CORP,1 MOTOR SPORT AUTO,14193 SW 142ND AVE,MIAMI,FL,33186,822523087,2,617935067,,,,,,,,,Florida ELT / Lienholder Source List
1 SOURCE,1 SOURCE,20 NE 27TH ST,MIAMI,FL,33137,455570699,1,242406739,,,,,,,,,Florida ELT / Lienholder Source List
1 STAR TRUCKS INC,1 STAR TRUCKS,PO BOX 811,STEPHENVILLE,TX,76401,454582607,1,235667621,,,,,,,,,Florida ELT / Lienholder Source List
1 STOP AUTO,1 STOP AUTO,3518 WATERFIELD RD,LAKELAND,FL,33803,861799970,1,610970403,,,,,,,,,Florida ELT / Lienholder Source List
"1 STOP AUTO WHOLESALE, INC",1 STOP AUTO WHOLESALE,7311 NW 46TH ST,MIAMI,FL,33166,824755091,2,256670065,,,,,,,,,Florida ELT / Lienholder Source List
1010 AUTO SALES LLC,1010 AUTO SALES,1010 W THARPE ST,TALLAHASSEE,FL,32303,922750542,2,633200641,,,,,,,,,Florida ELT / Lienholder Source List
1020 AUTO EXCHANGE LLC,1020 AUTO EXCHANGE,699 MASON AVE UNIT B,DAYTONA BEACH,FL,32117,832556677,1,600849869,,,,,,,,,Florida ELT / Lienholder Source List
11 AUTO BROKERS LLC,11 AUTO BROKERS,1728 KENNEDY PT STE 1024,OVIEDO,FL,32765,463631424,2,238366231,,,,,,,,,Florida ELT / Lienholder Source List
11 AUTO MOTORS LLC,11 AUTO MOTORS,8013 NW 66TH ST,MIAMI,FL,33166,853063158,2,601002105,,,,,,,,,Florida ELT / Lienholder Source List
111111 ABBY'S BAIL BONDS INC,111111 ABBY S BAIL BONDS,2512 ORIENT RD,TAMPA,FL,33619,455280654,3,238064741,,,,,,,,,Florida ELT / Lienholder Source List
111111 ABBY'S BAIL BONDS INC,111111 ABBY S BAIL BONDS,7211 N DALE MABRY HWY STE 207,TAMPA,FL,33614,455528065,1,235395495,,,,,,,,,Florida ELT / Lienholder Source List
1166 FEDERAL CREDIT UNION,1166 FEDERAL CREDIT UNION,95 WOODSTOWN RD UNIT C,SWEDESBORO,NJ,8085,210619435,1,251305297,,,,,,,,,Florida ELT / Lienholder Source List
1199 SEIU FEDERAL CREDIT UNION,1199 SEIU FEDERAL CREDIT UNION,498 7TH AVE FL 2,NEW YORK,NY,10018,133377275,1,623323009,,,,,,,,,Florida ELT / Lienholder Source List
121 FINANCIAL CREDIT UNION,121 FINANCIAL CREDIT UNION,PO BOX 40769,JACKSONVILLE,FL,32203,590248325,6,227729353,,,,,,,,,Florida ELT / Lienholder Source List
123 AUTO,123 AUTO,290 CLEARLAKE RD,COCOA,FL,32922,383889948,2,256989805,,,,,,,,,Florida ELT / Lienholder Source List
"123 AUTO, LLC",123 AUTO,1756 S SUNCOAST BLVD,HOMOSASSA,FL,34448,465522951,2,240740583,,,,,,,,,Florida ELT / Lienholder Source List
123 BAIL BONDS/FIANZAS LLC,123 BAIL BONDS FIANZAS,1382 NW 16TH STREET,MIAMI,FL,33125,261454483,1,226175515,,,,,,,,,Florida ELT / Lienholder Source List
"123 CARS, INC",123 CARS,5779 RODMAN ST,HOLLYWOOD,FL,33023,812806704,2,258199125,,,,,,,,,Florida ELT / Lienholder Source List
"123 MOTORSPORTS, LLC",123 MOTORSPORTS,317 E WASHINGTON ST UNIT C,MINNEOLA,FL,34715,800761248,4,603856039,,,,,,,,,Florida ELT / Lienholder Source List
135TH MOTORS LLC,135TH MOTORS,8295 NW 56TH ST,DORAL,FL,33166,884418631,2,618272975,,,,,,,,,Florida ELT / Lienholder Source List
"13700 PROPERTIES, INC.",13700 PROPERTIES,323 GOLDEN BEACH DR,GOLDEN BEACH,FL,33160,650815566,4,255531601,,,,,,,,,Florida ELT / Lienholder Source List
15518 MADELINE DRIVE LLC,15518 MADELINE DRIVE,7924 BELL DR,PORT RICHEY,FL,34668,452572012,1,250513291,,,,,,,,,Florida ELT / Lienholder Source List
15TH ST. MOTORS,15TH ST MOTORS,6210 15TH ST E,BRADENTON,FL,34203,650987846,3,238336133,,,,,,,,,Florida ELT / Lienholder Source List
17TH STREET AUTO INC.,17TH STREET AUTO,8550 NW 45TH ST,LAUDERHILL,FL,33351,562640290,2,233823801,,,,,,,,,Florida ELT / Lienholder Source List
180 AUTO SALES,180 AUTO SALES,411 HAWK ST,ROCKLEDGE,FL,32955,473777528,2,246313653,,,,,,,,,Florida ELT / Lienholder Source List
1803 CAPITAL LLC,1803 CAPITAL,3900 N CAUSEWAY BLVD STE 925,METAIRIE,LA,70002,822795451,1,260698267,,,,,,,,,Florida ELT / Lienholder Source List
1804 AUTOMOTIVE LLC,1804 AUTOMOTIVE,2138 MEARS PKWY,MARGATE,FL,33063,992586740,2,628088087,,,,,,,,,Florida ELT / Lienholder Source List
"1903P LOAN AGENT, LLC",1903P LOAN AGENT,800 BOYLSTON ST SPC 27,BOSTON,MA,2199,872400377,1,612724253,,,,,,,,,Florida ELT / Lienholder Source List
19TH STREET AUTO CENTER INC,19TH STREET AUTO CENTER,1220 W 19TH ST,PANAMA CITY,FL,32405,593325542,2,233260443,,,,,,,,,Florida ELT / Lienholder Source List
1AUTHORITY AUTO SALES LLC DBA AUTHORITY AUTO SALES,1AUTHORITY AUTO SALES DBA AUTHORITY AUTO SALES,4831 OLD WINTER GARDEN RD,ORLANDO,FL,32811,870991122,3,626341177,,,,,,,,,Florida ELT / Lienholder Source List
1CARSTOP LLC,1CARSTOP,780 N STATE ROAD 7,PLANTATION,FL,33317,833169918,2,265098957,,,,,,,,,Florida ELT / Lienholder Source List
1DRIVE AUTO SALES INC,1DRIVE AUTO SALES,3001 PACE ST STE B,ORLANDO,FL,32810,843304088,2,262494855,,,,,,,,,Florida ELT / Lienholder Source List
1DRIVE INC,1DRIVE,1406 S STATE ROAD 7,HOLLYWOOD,FL,33023,932843926,2,631102337,,,,,,,,,Florida ELT / Lienholder Source List
1ST ADVANTAGE FEDERAL CREDIT UNION,1ST ADVANTAGE FEDERAL CREDIT UNION,12891 JEFFERSON AVE,NEWPORT NEWS,VA,23669,540623618,1,201904084,,,,,,,,,Florida ELT / Lienholder Source List
"1ST AUTO SALES, INC.",1ST AUTO SALES,PO BOX 7309,PORT ST LUCIE,FL,34985,462573269,2,241501241,,,,,,,,,Florida ELT / Lienholder Source List
1ST CHOICE AUTO SALES,1ST CHOICE AUTO SALES,300 W HILLSBOROUGH AVE,TAMPA,FL,33604,205918592,2,234119301,,,,,,,,,Florida ELT / Lienholder Source List
1ST CHOICE AUTO SALES LLC,1ST CHOICE AUTO SALES,3490 SAINT AUGUSTINE RD STE 1,JACKSONVILLE,FL,32207,611786357,2,254422009,,,,,,,,,Florida ELT / Lienholder Source List
1ST CHOICE AUTOMOTIVE FINANCIAL SERVICES,1ST CHOICE AUTOMOTIVE FINANCIAL SERVICES,8004 NW 154 ST # 108,MIAMI,FL,33016,272946097,1,235033679,,,,,,,,,Florida ELT / Lienholder Source List
1ST CHOICE MOBILE HOMES,1ST CHOICE MOBILE HOMES,110 IBIS RD,LONGWOOD,FL,32779,593334939,4,261164959,,,,,,,,,Florida ELT / Lienholder Source List
1ST COMMUNITY CREDIT UNION,1ST COMMUNITY CREDIT UNION,PO BOX 167,SPARTA,WI,54656,396049882,3,612409989,,,,,,,,,Florida ELT / Lienholder Source List
1ST COMMUNITY FEDERAL CREDIT UNION,1ST COMMUNITY FEDERAL CREDIT UNION,3505 WILDEWOOD DR,SAN ANGELO,TX,76904,750873880,2,246698835,,,,,,,,,Florida ELT / Lienholder Source List
1ST ED CREDIT UNION,1ST ED CREDIT UNION,1156 KENNEBEC DR,CHAMBERSBERG,PA,17201,236274650,2,233357599,,,,,,,,,Florida ELT / Lienholder Source List
