search_name,record_count
CITIZENS BANK,6
FIRST BANK,6
FIRST NATIONAL BANK,6
PEOPLES BANK,6
FIRST COMMUNITY CREDIT UNION,5
FIRST STATE BANK,5
UNITED BANK,5
WELLS FARGO BANK NA,5
FIDELITY BANK,4
HEARTLAND CREDIT UNION,4
HERITAGE BANK,4
MEMBERS FIRST CREDIT UNION,4
STATE BANK AND TRUST,4
TD BANK NA,4
INDEPENDENT BANK,3
AFFORDABLE MOTORS,3
ALL STAR AUTO SALES,3
ALLIANCE BANK,3
AMERICAN HONDA FINANCE,3
AMERICAN NATIONAL BANK,3
AMERIS BANK,3
BMO BANK NA,3
BRANCH BANKING AND TRUST,3
CAPITAL AUTO FINANCE,3
CAR MASTERS,3
CARS,3
CITIZENS STATE BANK,3
COMMERCIAL BANK,3
COMMUNITY BANK,3
COMMUNITY CHOICE CREDIT UNION,3
COMMUNITY FIRST BANK,3
CORNERSTONE BANK,3
CYCLE SPRINGS POWERSPORTS,3
ELITE AUTO SALES,3
FARMERS MERCHANTS BANK,3
FARMERS STATE BANK,3
FINANCIAL PLUS CREDIT UNION,3
FIRST COMMUNITY BANK,3
FIRST SOUTHERN BANK,3
FREEDOM CREDIT UNION,3
HUNTINGTON NATIONAL BANK,3
IBERIA BANK,3
IBERIABANK,3
LANDMARK CREDIT UNION,3
LIBERTY BANK,3
LOANMAX DBA LOANMAX,3
MEMBERS CREDIT UNION,3
NEWTEK SMALL BUSINESS FINANCE,3
NORTH AMERICAN TITLE LOANS DBA LOANMAX,3
NORTHWEST BANK,3
OFF LEASE ONLY,3
PEOPLES STATE BANK,3
PNC BANK NATIONAL ASSOCIATION,3
PREMIER BANK,3
PUBLIC SERVICE CREDIT UNION,3
REGIONS BANK,3
RIVER VALLEY CREDIT UNION,3
UNITED COMMUNITY BANK,3
UNITED CREDIT UNION,3
UNIVERSITY CREDIT UNION,3
VALLEJO AUTO SALES,3
KPM AUTO EXPORTS,2
RABO AGRIFINANCE,2
111111 ABBY S BAIL BONDS,2
123 AUTO,2
1ST CHOICE AUTO SALES,2
1ST SOURCE BANK,2
22ND STATE BANK,2
5TH GEAR AUTO GROUP,2
A B AUTO SALES,2
A ONE AUTO SALES,2
A TO Z AUTO SALES,2
A TO Z AUTOS,2
AAA AUTO,2
ABC AUTO BROKERS,2
ACR AUTO SALES,2
ADELSA AUTO FINANCE,2
ADVANTAGE LEASING,2
ADVANTAGE ONE CREDIT UNION,2
AFFORDABLE AUTO SALES,2
AFFORDABLE CARS,2
ALAMO AUTO SALES,2
ALL AUTO SALES AND REPAIR,2
ALLIANCE CREDIT UNION,2
ALLSTAR MOTORS,2
AMERICA S CAR MART,2
AMERICAN BANK TRUST,2
AMERICAN EAGLE CREDIT UNION,2
AMERICAR,2
AMERIHOME SERVICES,2
ANDERSON MOTORS,2
ANHEUSER BUSCH EMPLOYEES CREDIT UNION,2
APEX AUTO GROUP,2
ASHLAND CREDIT UNION,2
ATEAM MOTORSPORTS,2
ATLANTIC COAST BANK,2
AUTO BROKERS,2
AUTO DEAL XPRESS,2
AUTO ENTERPRISE,2
AUTO HAUS,2
AUTO LOAN,2
AUTO PLAZA,2
AUTO PLUS,2
AUTO PROS,2
AUTO PROZ,2
AUTO QUALITY,2
AUTO SALES,2
AUTOLINX,2
AUTOMANIA,2
AUTOPLEX,2
AUTOS UNLIMITED,2
B E AUTOS,2
BAMA TITLING,2
BANC OF AMERICA LEASING CAPITAL,2
BANESCO USA,2
BANK OF AMERICA NA,2
BANK OF BLUE VALLEY,2
BEACON CREDIT UNION,2
BELL AUTO MALL,2
BELL AUTO SALES,2
BELLAGIO CARS,2
BELLES AUTO GROUP,2
BEST AUTOMOTIVE,2
BEST BUY AUTO,2
BEST BUY AUTO SALES,2
BEST DEALS AUTO SALES,2
BETTER VALUE AUTOS,2
BIG TIME AUTO SALES,2
