display_name,elt_customer_number,phone,email,payoff_website,lien_release_notes,elt_notes,search_aliases,last_verified_date,internal_notes
Capital One Auto Finance,,1-800-946-0332,,,,,Capital One | Cap One | Capital One Auto,,
Bank of America,,1-800-215-6195,,,,,BOA | Bank of America Auto,,
Wells Fargo Auto,,1-888-329-4856,,,,,Wells Fargo | Wells Fargo Dealer Services,,
Campus USA Credit Union,,1-800-367-6440,,,,,Campus USA | Campus Credit Union,,
Santander Consumer USA,,1-800-526-0157,,,,,Santander | Santander Auto,,
American Honda Finance,,1-800-543-5636,,,,,Honda Financial | American Honda | AHFC,,
Suncoast Credit Union,,1-813-621-7511,,,,,Suncoast | Suncoast CU,,
GTE Financial Credit Union,,1-813-871-2690,,,,,GTE Financial | GTE FCU,,
Kia Finance,,1-866-331-5632,,,,,Kia Motors Finance | Kia Financial | KMF,,
Publix Employees Federal Credit Union,,1-800-226-6673,,,,,Publix Employees FCU | PEFCU,,
Southern Auto Finance Company,,1-866-278-5313,,,,,SAFCO | Southern Auto Finance,,
Citizens Bank,,1-866-999-0116,,,,,Citizens | Citizens Auto,,
Ally Financial,,1-888-925-2559,,,,,Ally | Ally Auto | GMAC,,
Florida Credit Union,,1-800-284-1144,,,,,Florida CU | FCU,,
VyStar Credit Union,,1-800-445-6289,,,,,Vystar | VyStar CU,,
Southeast Toyota Finance,,1-888-688-1166,,,,,SETF | Southeast Toyota | World Omni,,
Toyota Financial Services,,1-800-874-8822,,,,,Toyota Financial | Toyota Motor Credit | TFS,,
USAA Federal Savings Bank,,1-800-531-8722,,,,,USAA | USAA FSB,,
Navy Federal Credit Union,,1-888-842-6328,,,,,Navy Federal | NFCU,,
JP Morgan Chase Bank,,1-800-336-6675,,,,,Chase | JPMorgan Chase | Chase Auto,,
Community First Credit Union of Florida,,1-800-342-8416,,,,,Community First CU | Community First Credit Union,,
