display_name,elt_customer_number,phone,email,payoff_website,lien_release_notes,elt_notes,search_aliases,last_verified_date,internal_notes
ACAR Leasing,,800-342-4828,,,,,,,
Achieva Credit Union,,800-593-2274,,,,,Achieva CU,,Specific Contact(s): Sherry Higginbotham
ADVANCIAL FEDERAL CREDIT UNION,,800-322-2709,,,,,,,
Ally Financial,,1-888-925-2559,sandra.bilchik@ally.com katie.pinnick@ally.com brian.fisher@ally.com DEALERASSIST@ALLY.COM HARLEY.ARNOLD@ALLY.COM,,,,Ally | Ally Auto | GMAC,,"Physical Address: 10909 McCORMICK RD HUNT VALLEY, MD 21031 | Specific Contact(s): Sandy Bilchik Katie Pinnick Brian Fisher"
ALLY SMART AUCTION,,,SATITLES@ALLY.COM,,,,,,
Alphera (BMW Financial Services),,866-425-7437 800-578-5000,,,,,Alphera | BMW Financial Services | Alphera (BMW Financial) | BMW,,Fax: 866-310-8748
American Credit Acceptance LLC,,,thaddeus.jackson@acacceptance.com titlesoutbound@acacceptance.com,,,,,,Fax: 877-811-1620 | Specific Contact(s): Thaddeus Jackson
American Honda Finance,,1-800-543-5636,hondadocs@coxautoinc.com michael_heimbuch@na.honda.com griffin_petty@na.honda.com CSVCSUPPORTR2@AHM.HONDA.COM,,,,Honda Financial | American Honda | AHFC | Honda Financial | AHFC | Honda Finance,,"Fax: 800-899-6019 | Physical Address: To send Titles: PO Box 1027 Alpharetta, GA 30009 | Specific Contact(s): Michael Heimbuch Griffin Petty"
Americredit Financial Services Inc (GM Financial),,888-556-4616 800-920-0477 (Dealer Relations) 817-525-9686 (Greg),Gregory.jones@GMFinancial.com Diane.Rice@americredit.com jason.jackson@gmfinancial.com,,,,Americredit Financial Services Inc | GM Financial | Americredit Financial Inc (GM Financial) | Americredit | GMF,,Fax: 877-205-0069 (Greg's Fax) | Specific Contact(s): Gregory Jones Diane Rice Jason Jackson
Auto Nation,,877-244-4442,ymata@autonationfinance.com,,,,,,
AUTOMOTIVE CREDIT CORP,,800-810-1211,Titles@automotivecredit.com,,,,,,
Bank of America,,1-800-215-6195,,,,,BOA | Bank of America Auto | BOA | BofA | Bank of America Auto,,Fax: 804-553-8773 (Title Dept)
Bank of New York Mellon Trust,,,shylock.baloyi@bnymellon.com,,,,,,Specific Contact(s): Shylock Baloyi
BB&T,,888-411-2258 866-730-7807 910-914-9449 (Jackie Gerrell),,,,,BBandT,,Fax: 252-293-9078 (Title Dept)
